,coefficient
0,0.1135708730551939
1,-0.11345279200402823
2,-0.19842252307070327
3,0.32989380631387594
4,-0.3724770313671843
5,0.3705702232816198
6,0.5905221234990926
7,0.43235499616702605
8,-0.41320973028771385
9,-0.33176877257987214
10,-0.4817328344260267
11,0.051882795876179895
12,0.5026679109899078
13,-0.07273432604707715
14,0.5716770708532083
15,0.04493165706040722
16,0.23532752264773524
17,-0.30358229684287585
18,-0.3022715129613949
19,0.522974002668993
20,-0.5445340418042859
21,0.03770164685221116
22,-0.28680593317391184
23,0.3248903247320045
24,0.3869025319952279
25,-0.09369539401281833
26,0.6599630240443283
27,0.39922924701394086
28,0.0670931366557856
29,0.18864396978660836
30,1.0186188364245365
31,0.630573934772119
32,0.24530726930205904
33,0.5704996952658031
34,0.15745419249346812
35,0.36662066678313376
36,0.7301390286997574
37,0.6813625992832005
38,-0.013225098877609491
39,-0.21266171574471499
40,1.4388641103038466
41,-0.04316522631242025
42,0.02461180694257208
43,-0.09011981098948965
44,0.017641617471566576
45,0.5672956596707083
46,0.5728685653813366
47,-0.7346182701808793
48,0.3362417491691497
49,-0.4089213538366825
50,0.3983336328533087
51,0.6193358434831826
52,-0.4478934934118691
53,-0.4761781904864814
54,-0.09602762710919557
55,-0.303376655478196
56,0.30246220546757085
57,0.2995555741300451
58,1.0353210463161269
59,0.3537230291305741
60,1.045944035616229
61,1.407282395548931
62,0.36172292890431607
63,0.5115198246950284
64,-0.1682836222181918
65,1.0962062389373384
66,0.25655910498151896
67,-0.7814063184788739
68,-0.12362068078253198
69,0.358481684841918
70,-0.7762548273928663
71,-0.3945308803569011
72,-0.3102035403967909
73,0.38377730933128024
74,0.34590913516243965
75,1.0166629107678695
76,0.868748522690153
77,0.06051216711771428
78,-0.5239588359692636
79,-0.599148346151033
80,-0.2459519103713158
81,-0.38133145639363963
82,-0.02110903577031224
83,-0.4310553617229124
84,0.5263086892918171
85,0.3218317000115413
86,0.8682614003834093
87,0.13938111834243194
88,0.7511461713214288
89,0.8719904636013157
90,-0.5884862310485437
91,0.4831388357289527
92,0.2174826793706755
93,0.1054866065350949
94,0.2761430754096342
95,-0.061485537556363296
96,0.24004763451929112
97,-0.02608734558835622
98,-0.5982169784744519
99,-0.5436968555702816
100,0.7422773796023769
101,0.5682747096568644
102,-1.3231502444851557
103,-0.6437862152185057
104,0.2379362948162611
105,-1.045218135206051
106,0.2481101613723667
107,-0.7199253626314964
108,1.2800188674899717
109,0.2818360363357328
110,0.9730665744726946
111,-0.37553343829044405
112,-0.7656494279022449
113,0.5337586913925181
114,-0.8098959523802164
115,-1.312715358897651
116,0.8872750531089247
117,0.769428969363518
118,0.5649175899780822
119,-0.15004370958523613
120,-0.3782361787314366
121,0.5709494451958933
122,0.6699597467052628
123,0.8372658745431732
124,0.18120149213584136
125,-0.529344681224055
126,0.3387306947662743
127,0.24947617051721271
128,-0.5844259576118735
129,-0.845381710084114
130,-0.6639873313278084
131,-0.6779599101186246
132,0.5621554632105793
